N,avg_log_order,std_log_order,avg_cycle_count,avg_max_cycle
256,4.981309007,1.265172719,6.06,153.9
512,6.284834995,1.693823161,6.48,317.08
1024,8.576101293,1.970780433,8.16,595.76
2048,9.554789936,1.742614259,8.02,1284
4096,11.84064688,2.751226926,9.16,2372.14
8192,12.90943719,3.435428956,9.98,5378.4
,,,,
,,,,
,,,,
