N,avg_log_order,std_log_order,avg_cycle_count,avg_max_cycle
256,5.06928474,1.245415886,6.46,166.72
512,6.025392093,1.806950139,6.34,338.48
1024,7.631820573,1.901677191,7.32,632.4
2048,9.170750003,2.328246352,8.46,1249.44
4096,12.06574234,3.076689232,9.7,2393.84
8192,13.65748664,3.288147952,9.96,5282.24
